; E ; N ; L1 ;L2;L3
V1;737642,760;7011654,530;2;1;1
V2;737691,950;7011644,660;2;1;1
V3;737681,910;7011595,580;2;1;1
V4;737632,730;7011605,760;2;1;1
V1;737642,760;7011654,530;2;1;1
V5;737628,882;7011587,229;3;1;1
V6;737678,071;7011577,050;3;1;1
V7;737619,960;7011281,750;3;1;1
V8;737570,770;7011291,610;3;1;1
V5;737628,882;7011587,229;3;1;1
V9;737585,879;7011289,387;1;1;2
V10;737603,805;7011285,794;1;1;2
V11;737660,229;7011186,707;1;1;2
V12;737648,237;7011179,878;1;1;2
V9;737585,879;7011289,387;1;1;2
V13;737691,950;7011644,659;4;1;1
V14;737740,936;7011634,638;4;1;1
V15;737668,985;7011271,922;4;1;1
V16;737619,960;7011281,749;4;1;1
V13;737691,950;7011644,659;4;1;1
V17;737593,838;7011664,885;5;1;1
V18;737642,760;7011654,530;5;1;1
V19;737570,770;7011291,610;5;1;1
V20;737521,745;7011301,436;5;1;1
V17;737593,838;7011664,885;5;1;1
V21;737632,730;7011605,760;6;1;1
V22;737681,933;7011595,695;6;1;1
V23;737678,071;7011577,050;6;1;1
V24;737628,882;7011587,229;6;1;1
V21;737632,730;7011605,760;6;1;1
V25;737750,129;7010872,457;1;1;3
V26;737752,785;7010875,149;1;1;3
V27;737824,729;7010806,209;1;1;3
V28;737822,060;7010803,504;1;1;3
V25;737750,129;7010872,457;1;1;3
V29;737659,241;7011171,011;1;1;4
V30;737662,873;7011172,127;1;1;4
V31;737749,970;7010881,651;1;1;4
V32;737746,303;7010880,650;1;1;4
V29;737659,241;7011171,011;1;1;4
V33;737746,303;7010880,650;1;1;5
V34;737749,970;7010881,651;1;1;5
V35;737751,556;7010876,361;1;1;5
V36;737752,785;7010875,149;1;1;5
V37;737750,129;7010872,457;1;1;5
V38;737747,975;7010874,521;1;1;5
V33;737746,303;7010880,650;1;1;5
V46;737624,000;7012099,000;1;1;1
V47;737868,000;7012050,000;1;1;1
V48;737717,601;7011264,000;1;1;1
V49;737469,000;7011314,000;1;1;1
V46;737624,000;7012099,000;1;1;1
V50;737101,8630;7010258,0297;1;1;6
V51;737101,7368;7010282,5685;1;1;6
V52;737122,3549;7010282,5685;1;1;6
V53;737125,7391;7010260,1926;1;1;6
V50;737101,8630;7010258,0297;1;1;6
